Training Data %,Epochs,Pseudo-Thresh,Y-Thresh,Average,STD
0.09,40,0.8,0.7,0.872401,0.029671
0.09,10,0.8325,0.3,0.862689,0.034784
0.09,20,0.8325,0.3,0.866203,0.033792
0.09,40,0.8325,0.3,0.872588,0.030975
0.09,10,0.8325,0.5,0.866838,0.041569
0.09,20,0.8325,0.5,0.875893,0.036189
0.09,40,0.8325,0.5,0.880067,0.036180
0.09,10,0.8325,0.7,0.855954,0.030840
0.09,20,0.8325,0.7,0.867566,0.039758
0.09,40,0.8325,0.7,0.871247,0.021264
0.09,10,0.875,0.3,0.852927,0.037337
0.09,20,0.875,0.3,0.871001,0.030990
0.09,40,0.875,0.3,0.875973,0.025378
0.09,10,0.875,0.5,0.855883,0.032215
0.09,20,0.875,0.5,0.857280,0.029044
0.09,40,0.875,0.5,0.872414,0.024641
0.09,10,0.875,0.7,0.866003,0.040199
0.09,20,0.875,0.7,0.868186,0.041232
0.09,40,0.875,0.7,0.873654,0.026947
0.09,10,0.9075,0.3,0.857342,0.040995
0.09,20,0.9075,0.3,0.866950,0.043319
0.09,40,0.9075,0.3,0.864607,0.026176
0.09,10,0.9075,0.5,0.846323,0.035297
0.09,20,0.9075,0.5,0.877172,0.032118
0.09,40,0.9075,0.5,0.873968,0.030326
0.09,10,0.9075,0.7,0.865635,0.037324
0.09,20,0.9075,0.7,0.873005,0.033206
0.09,40,0.9075,0.7,0.867476,0.027026
0.09,10,0.95,0.3,0.858772,0.031248
0.09,20,0.95,0.3,0.860420,0.028602
0.09,40,0.95,0.3,0.866976,0.040096
0.09,10,0.95,0.5,0.864928,0.034128
0.09,20,0.95,0.5,0.871097,0.042768
0.09,40,0.95,0.5,0.868448,0.021597
0.09,10,0.95,0.7,0.864897,0.037355
0.09,20,0.95,0.7,0.871441,0.036455
0.09,40,0.95,0.7,0.867476,0.027830
0.1,10,0.8,0.3,0.875199,0.027812
0.1,20,0.8,0.3,0.870272,0.025196
0.1,40,0.8,0.3,0.878707,0.018131
0.1,10,0.8,0.5,0.876734,0.023526
0.1,20,0.8,0.5,0.887884,0.023877
0.1,40,0.8,0.5,0.875276,0.024522
0.1,10,0.8,0.7,0.867900,0.024640
0.1,20,0.8,0.7,0.884597,0.030767
0.1,40,0.8,0.7,0.869366,0.029077
0.1,10,0.8325,0.3,0.867941,0.030993
0.1,20,0.8325,0.3,0.877782,0.021900
0.1,40,0.8325,0.3,0.879302,0.027995
0.1,10,0.8325,0.5,0.869419,0.031127
0.1,20,0.8325,0.5,0.876785,0.026567
